C101
NAME: C101
VEHICLES  10
CAPACITY  40
CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME  DUE TIME   SERVICE TIME
     0       40         50          0          0       1236          0
     1       45         68         10        912        967         90
     2       45         70         30        825        870         90
     3       42         66         10        65        146         90
     4       42         68         10        727        782         90
     5       42         65         10        15        67          90
     6       40         69         20        621        702         90
     7       40         66         10        170        225         90
     8       38         68         20        255        324         90
     9       38         70         10        534        605         90
    10       35         66         10        357        410         90
    11       35         69         20        448        505         90
    12       25         85         20        652        722         90
    13       22         75         30        30        92          90
    14       22         85         10        567        620         90
    15       20         80         40        384        429         90
    16       20         85         10        475        528         90
    17       18         75         20        99        148         90
    18       15         75         20        179        254         90
    19       10         77         10        863        918         90
    20       5          85         20        40        130         90
    21       0          50         10        150        194         90
    22       0          60         10        247        317         90
    23       0          70         10        465        516         90
    24       5          70         30        75        143         90
    25       10         70         10        258        317         90
